220000 ,
220015 ,
220030 ,
220045 ,
220100 ,
220115 ,
220130 ,314 
220145 ,
220200 ,2 
220215 ,394 
220230 ,4 
220245 ,2 
220300 ,
220315 ,
220330 ,
220345 ,
220400 ,
220415 ,
220430 ,
220445 ,
220500 ,8 
220515 ,
220530 ,
220545 ,
220600 ,568 
220615 ,428 
220630 ,880 
220645 ,272 
220700 ,4 
220715 ,12 
220730 ,776 
220745 ,656 
220800 ,6 
220815 ,4 
220830 ,12 
220845 ,6 
220900 ,202 
220915 ,
220930 ,196 
220945 ,
221000 ,4 
221015 ,478 
221030 ,250 
221045 ,232 
221100 ,460 
221115 ,224 
221130 ,4 
221145 ,6 
221200 ,4 
221215 ,222 
221230 ,
221245 ,
221300 ,
221315 ,448 
221330 ,
221345 ,
221400 ,
221415 ,1284 
221430 ,200 
221445 ,4 
221500 ,4 
221515 ,6 
221530 ,4 
221545 ,
221600 ,164 
221615 ,28 
221630 ,
221645 ,
221700 ,
221715 ,
221730 ,
221745 ,
221800 ,
221815 ,
221830 ,
221845 ,
221900 ,
221915 ,
221930 ,
221945 ,
222000 ,
222015 ,
222030 ,
222045 ,
222100 ,
222115 ,
222130 ,
222145 ,
222200 ,
222215 ,
222230 ,
222245 ,
222300 ,
222315 ,
222330 ,
222345 ,
230000 ,
230015 ,
230030 ,
230045 ,
230100 ,
230115 ,
230130 ,
230145 ,232 
230200 ,
230215 ,
230230 ,
230245 ,
230300 ,
230315 ,
230330 ,
230345 ,
230400 ,
230415 ,
230430 ,
230445 ,
230500 ,
230515 ,
230530 ,
230545 ,
230600 ,
230615 ,318 
230630 ,326 
230645 ,
230700 ,
230715 ,
230730 ,232 
230745 ,
230800 ,2 
230815 ,
230830 ,
230845 ,
230900 ,
230915 ,4 
230930 ,
230945 ,
231000 ,
231015 ,
231030 ,
231045 ,
231100 ,
231115 ,
231130 ,
231145 ,
231200 ,
231215 ,
231230 ,
231245 ,
231300 ,
231315 ,
231330 ,
231345 ,
231400 ,
231415 ,
231430 ,
231445 ,
231500 ,
231515 ,
231530 ,308 
231545 ,
231600 ,240 
231615 ,
231630 ,
231645 ,
231700 ,
231715 ,
231730 ,
231745 ,
231800 ,
231815 ,4 
231830 ,
231845 ,
231900 ,
231915 ,
231930 ,
231945 ,
232000 ,
232015 ,
232030 ,
232045 ,
232100 ,
232115 ,
232130 ,
232145 ,
232200 ,
232215 ,
232230 ,
232245 ,
232300 ,
232315 ,
232330 ,
232345 ,
240000 ,4 
